srv03929,https://srv03929.soton.ac.uk:3000
srv03952,https://srv03952.soton.ac.uk:3000
srv03945,https://srv03945.soton.ac.uk:3000
srv03914,https://srv03914.soton.ac.uk:3000
srv03916,https://srv03916.soton.ac.uk:3000
srv03923,https://srv03923.soton.ac.uk:3000
srv03919,https://srv03919.soton.ac.uk:3000
srv03950,https://srv03950.soton.ac.uk:3000
srv03941,https://srv03941.soton.ac.uk:3000
srv03933,https://srv03933.soton.ac.uk:3000
srv03951,https://srv03951.soton.ac.uk:3000
srv03934,https://srv03934.soton.ac.uk:3000
srv03926,https://srv03926.soton.ac.uk:3000
srv03813,https://srv03813.soton.ac.uk:3000
srv03915,https://srv03915.soton.ac.uk:3000
srv03917,https://srv03917.soton.ac.uk:3000
srv03938,https://srv03938.soton.ac.uk:3000
srv03920,https://srv03920.soton.ac.uk:3000
srv03954,https://srv03954.soton.ac.uk:3000
srv03930,https://srv03930.soton.ac.uk:3000
srv03814,https://srv03814.soton.ac.uk:3000
srv03932,https://srv03932.soton.ac.uk:3000
srv03944,https://srv03944.soton.ac.uk:3000
srv03913,https://srv03913.soton.ac.uk:3000
srv03911,https://srv03911.soton.ac.uk:3000
srv03939,https://srv03939.soton.ac.uk:3000
srv03918,https://srv03918.soton.ac.uk:3000
srv03931,https://srv03931.soton.ac.uk:3000
srv03940,https://srv03940.soton.ac.uk:3000
srv03943,https://srv03943.soton.ac.uk:3000
srv03922,https://srv03922.soton.ac.uk:3000
srv03948,https://srv03948.soton.ac.uk:3000
srv03927,https://srv03927.soton.ac.uk:3000
srv03935,https://srv03935.soton.ac.uk:3000
srv03953,https://srv03953.soton.ac.uk:3000
srv03925,https://srv03925.soton.ac.uk:3000
srv03815,https://srv03815.soton.ac.uk:3000
srv03816,https://srv03816.soton.ac.uk:3000
srv03928,https://srv03928.soton.ac.uk:3000
srv03942,https://srv03942.soton.ac.uk:3000
srv03812,https://srv03812.soton.ac.uk:3000
srv03955,https://srv03955.soton.ac.uk:3000
srv03946,https://srv03946.soton.ac.uk:3000
srv03912,https://srv03912.soton.ac.uk:3000
srv03921,https://srv03921.soton.ac.uk:3000
srv03937,https://srv03937.soton.ac.uk:3000
srv03924,https://srv03924.soton.ac.uk:3000
srv03936,https://srv03936.soton.ac.uk:3000
srv03947,https://srv03947.soton.ac.uk:3000
